public_id,public_sha,source_repo,source_sha,source_date,mapping_type,release,notes
YR-001,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,project foundation and minimal CLI
YR-002,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,filesystem integrity and path-safety primitives
YR-003,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,authoritative workspace and derived paths
YR-004,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,versioned catalog and source identity model
YR-005,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,deterministic ZIP and stored-bundle primitives
YR-006,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,publication inspection adapters
YR-007,,YarReader,08e2250,2026-08-20,decomposed,v0.1.0,stable recursive discovery
YR-008,,YarReader,08e2250,2026-08-20,decomposed,v0.2.0,classification proposal and review boundary
YR-009,,YarReader,08e2250,2026-08-20,decomposed,v0.2.0,multi-unit identity and review regression coverage
YR-010,,YarReader,08e2250,2026-08-20,decomposed,v0.3.0,verified lossless normalization
YR-011,,YarReader,08e2250,2026-08-20,decomposed,v0.3.0,content-addressed archive transactions
YR-012,,YarReader,08e2250,2026-08-20,decomposed,v0.3.0,EXDEV and interrupted-archive recovery tests
